machine_id,burstiness,demand_scale,seed,lstm_under_prov_weight,lstm_safety_margin,lstm_horizon_weights,lstm_cost_score,lstm_sla_violation_rate_pct,arima_under_prov_weight,arima_safety_margin,arima_horizon_weights,arima_cost_score,arima_sla_violation_rate_pct
m_2056,1.597500000000002,23.3077,42,5,0.35,front_80_15_05,0.112583,0.6623,5,0.4,front_60_30_10,0.103753,0.4415
m_2056,1.597500000000002,23.3077,43,5,0.35,front_80_15_05,0.13245,1.1038,5,0.4,front_60_30_10,0.103753,0.4415
m_2056,1.597500000000002,23.3077,44,5,0.35,front_80_15_05,0.130243,1.1038,5,0.4,front_60_30_10,0.103753,0.4415
m_2056,1.597500000000002,23.3077,45,5,0.35,front_80_15_05,0.119205,0.883,5,0.4,front_60_30_10,0.103753,0.4415
m_2056,1.597500000000002,23.3077,46,5,0.35,front_80_15_05,0.130243,1.1038,5,0.4,front_60_30_10,0.103753,0.4415
m_2065,16.33416666666666,3.0973,42,5,0.4,front_80_15_05,0.224944,1.559,5,0.35,front_60_30_10,0.229399,2.2272
m_2065,16.33416666666666,3.0973,43,5,0.4,front_80_15_05,0.22049,1.559,5,0.35,front_60_30_10,0.229399,2.2272
m_2065,16.33416666666666,3.0973,44,5,0.4,front_80_15_05,0.224944,1.3363,5,0.35,front_60_30_10,0.229399,2.2272
m_2065,16.33416666666666,3.0973,45,5,0.4,front_80_15_05,0.229399,1.3363,5,0.35,front_60_30_10,0.229399,2.2272
m_2065,16.33416666666666,3.0973,46,5,0.4,front_80_15_05,0.244989,2.2272,5,0.35,front_60_30_10,0.229399,2.2272
m_2085,1.5,23.1292,42,5,0.3,linear_321,0.21286,2.8825,5,0.25,uniform,0.363636,6.6519
m_2085,1.5,23.1292,43,5,0.3,linear_321,0.215078,2.8825,5,0.25,uniform,0.363636,6.6519
m_2085,1.5,23.1292,44,5,0.3,linear_321,0.217295,3.1042,5,0.25,uniform,0.363636,6.6519
m_2085,1.5,23.1292,45,5,0.3,linear_321,0.21286,2.8825,5,0.25,uniform,0.363636,6.6519
m_2085,1.5,23.1292,46,5,0.3,linear_321,0.217295,3.1042,5,0.25,uniform,0.363636,6.6519
m_2087,1.25,16.1119,42,5,0.05,uniform,0.022075,0.4415,5,0.05,uniform,0.022075,0.4415
m_2087,1.25,16.1119,43,5,0.05,uniform,0.022075,0.4415,5,0.05,uniform,0.022075,0.4415
m_2087,1.25,16.1119,44,5,0.05,uniform,0.022075,0.4415,5,0.05,uniform,0.022075,0.4415
m_2087,1.25,16.1119,45,5,0.05,uniform,0.022075,0.4415,5,0.05,uniform,0.022075,0.4415
m_2087,1.25,16.1119,46,5,0.05,uniform,0.022075,0.4415,5,0.05,uniform,0.022075,0.4415
m_2104,17.5,3.1194,42,5,0.35,uniform,0.315673,3.9735,5,0.4,uniform,0.286976,3.0905
m_2104,17.5,3.1194,43,5,0.35,uniform,0.313466,4.1943,5,0.4,uniform,0.286976,3.0905
m_2104,17.5,3.1194,44,5,0.35,uniform,0.306843,3.9735,5,0.4,uniform,0.286976,3.0905
m_2104,17.5,3.1194,45,5,0.35,uniform,0.286976,3.532,5,0.4,uniform,0.286976,3.0905
m_2104,17.5,3.1194,46,5,0.35,uniform,0.311258,4.1943,5,0.4,uniform,0.286976,3.0905
m_2134,38.2,2.8894,42,5,0.4,uniform,0.907285,12.362,5,0.4,uniform,0.856512,11.0375
m_2134,38.2,2.8894,43,5,0.4,uniform,0.90287,12.362,5,0.4,uniform,0.856512,11.0375
m_2134,38.2,2.8894,44,5,0.4,uniform,0.905077,12.362,5,0.4,uniform,0.856512,11.0375
m_2134,38.2,2.8894,45,5,0.4,uniform,0.891832,11.9205,5,0.4,uniform,0.856512,11.0375
m_2134,38.2,2.8894,46,5,0.4,uniform,0.883002,11.6998,5,0.4,uniform,0.856512,11.0375
m_2163,14.797499999999992,2.6381,42,5,0.35,uniform,0.165563,2.2075,5,0.35,front_80_15_05,0.136865,1.766
m_2163,14.797499999999992,2.6381,43,5,0.35,uniform,0.156733,2.2075,5,0.35,front_80_15_05,0.136865,1.766
m_2163,14.797499999999992,2.6381,44,5,0.35,uniform,0.154525,1.9868,5,0.35,front_80_15_05,0.136865,1.766
m_2163,14.797499999999992,2.6381,45,5,0.35,uniform,0.161148,2.2075,5,0.35,front_80_15_05,0.136865,1.766
m_2163,14.797499999999992,2.6381,46,5,0.35,uniform,0.163355,2.2075,5,0.35,front_80_15_05,0.136865,1.766
m_2183,16.666666666666664,3.1278,42,5,0.4,linear_321,0.313466,2.8698,5,0.35,front_80_15_05,0.331126,4.1943
m_2183,16.666666666666664,3.1278,43,5,0.4,linear_321,0.335541,3.9735,5,0.35,front_80_15_05,0.331126,4.1943
m_2183,16.666666666666664,3.1278,44,5,0.4,linear_321,0.309051,3.3113,5,0.35,front_80_15_05,0.331126,4.1943
m_2183,16.666666666666664,3.1278,45,5,0.4,linear_321,0.326711,3.7528,5,0.35,front_80_15_05,0.331126,4.1943
m_2183,16.666666666666664,3.1278,46,5,0.4,linear_321,0.333333,3.7528,5,0.35,front_80_15_05,0.331126,4.1943
m_2189,14.485714285714298,2.6381,42,5,0.3,front_80_15_05,0.112583,1.1038,5,0.3,linear_321,0.125828,1.5453
m_2189,14.485714285714298,2.6381,43,5,0.3,front_80_15_05,0.12362,1.3245,5,0.3,linear_321,0.125828,1.5453
m_2189,14.485714285714298,2.6381,44,5,0.3,front_80_15_05,0.130243,1.5453,5,0.3,linear_321,0.125828,1.5453
m_2189,14.485714285714298,2.6381,45,5,0.3,front_80_15_05,0.136865,1.5453,5,0.3,linear_321,0.125828,1.5453
