machine_id,burstiness,lstm_uniform_cost,lstm_uniform_cost_std,lstm_hw_chosen,lstm_hw_cost,lstm_hw_cost_std,lstm_verdict,arima_uniform_cost,arima_hw_chosen,arima_hw_cost,arima_verdict,head_to_head_uniform_winner,head_to_head_hw_winner,head_to_head_changed
m_2056,1.597500000000002,0.1249448,0.0066374398196895,front_80_15_05,0.12494480000000001,0.007723072922095195,tied (within +/-1sigma),0.101545,front_60_30_10,0.103753,hw search confirmed worse,ARIMA,ARIMA,False
m_2065,16.33416666666666,0.2253896,0.0021823728920603,front_80_15_05,0.22895320000000002,0.008498455657353287,tied (within +/-1sigma),0.216036,front_60_30_10,0.229399,hw search confirmed worse,ARIMA,LSTM,True
m_2085,1.5,0.2150774,0.0028047821733603,linear_321,0.2150776,0.0019833923061260447,tied (within +/-1sigma),0.363636,uniform,0.363636,tied (within +/-1sigma),LSTM,LSTM,False
m_2087,1.25,0.022075,0.0,uniform,0.022075,0.0,tied (within +/-1sigma),0.022075,uniform,0.022075,tied (within +/-1sigma),ARIMA,ARIMA,False
m_2104,17.5,0.2980134,0.0081408577582463,uniform,0.3068432,0.010353964871487632,tied (within +/-1sigma),0.286976,uniform,0.286976,tied (within +/-1sigma),ARIMA,ARIMA,False
m_2134,38.2,0.9006622,0.0103542207123472,uniform,0.8980132,0.009197775935518345,hw search directional improvement (within +/-1sigma),0.856512,uniform,0.856512,tied (within +/-1sigma),ARIMA,ARIMA,False
m_2163,14.797499999999992,0.1532007999999999,0.0063368146382863,uniform,0.1602648,0.0040943672722412155,tied (within +/-1sigma),0.161148,front_80_15_05,0.136865,hw search confirmed better,LSTM,ARIMA,True
m_2183,16.666666666666664,0.3214128,0.0101258661535692,linear_321,0.3236204,0.010595908334824326,tied (within +/-1sigma),0.350993,front_80_15_05,0.331126,hw search confirmed better,LSTM,LSTM,False
m_2189,14.485714285714298,0.1187638,0.0025745024684392,front_80_15_05,0.1280352,0.009154994186781328,tied (within +/-1sigma),0.128035,linear_321,0.125828,hw search confirmed better,LSTM,ARIMA,True
m_2241,1.0,0.011038,0.0,uniform,0.011038,0.0,tied (within +/-1sigma),0.011038,uniform,0.011038,tied (within +/-1sigma),ARIMA,ARIMA,False
m_2355,16.6,0.336303,0.0054555852115057,front_80_15_05,0.3349666,0.00684310670967507,hw search directional improvement (within +/-1sigma),0.316258,linear_321,0.318486,hw search confirmed worse,ARIMA,ARIMA,False
m_2380,14.333333333333336,0.2022074,0.0092188289625092,linear_321,0.19823380000000002,0.0037980196102705994,hw search directional improvement (within +/-1sigma),0.222958,uniform,0.222958,tied (within +/-1sigma),LSTM,LSTM,False
m_2647,14.560000000000002,0.2022076,0.0085610129447396,uniform,0.18675479999999997,0.006924567665926874,hw search directional improvement (within +/-1sigma),0.178808,uniform,0.178808,tied (within +/-1sigma),ARIMA,ARIMA,False
