machine_id,burstiness,best_order,best_aic,old_order_aic,old_order_rank,n_converged,order_changed
m_2056,1.597500000000002,"(4, 0, 4)",-2686.7785980283,-2620.1532308465557,24,48,True
m_2065,16.33416666666666,"(2, 0, 1)",-2593.527023029661,-2593.527023029661,1,48,False
m_2085,1.5,"(3, 1, 3)",-2335.0107325255794,-2319.753327128341,17,48,True
m_2087,1.25,"(1, 0, 1)",-2386.0484939856838,-2384.064298746064,3,48,True
m_2104,17.5,"(2, 0, 1)",-2573.5058487005176,-2573.5058487005176,1,48,False
m_2134,38.2,"(3, 0, 3)",-1508.4422030245182,-1501.1033336485382,11,48,True
m_2163,14.797499999999992,"(2, 0, 1)",-2474.2414987285674,-2474.2414987285674,1,48,False
m_2183,16.666666666666664,"(2, 0, 1)",-2556.8985511250994,-2556.8985511250994,1,48,False
m_2189,14.485714285714298,"(2, 0, 1)",-2607.8694474255153,-2607.8694474255153,1,48,False
m_2241,1.0,"(2, 0, 3)",-3009.393527519159,-3002.6333251741644,12,48,True
m_2355,16.6,"(2, 0, 1)",-2647.726810885162,-2647.726810885162,1,48,False
m_2380,14.333333333333336,"(1, 0, 2)",-2573.171240449461,-2573.0902139377627,2,48,True
m_2647,14.560000000000002,"(4, 0, 3)",-2323.83666818374,-2322.9683748925236,2,48,True
