machine_id,burstiness,old_order,new_order,order_changed,arima_cost_old_order,arima_cost_new_order,arima_cost_delta,lstm_cost,lstm_cost_std,reactive_cost,h2h_verdict_old_order,h2h_verdict_new_order,h2h_changed,arima_vs_reactive_old_order,arima_vs_reactive_new_order
m_2056,1.597500000000002,"(2, 0, 1)","(4, 0, 4)",True,0.103753,0.165563,0.06180999999999999,0.1249448,0.0077230729220951,0.236203,ARIMA confirmed cheaper,LSTM confirmed cheaper,True,beats Reactive (confirmed),beats Reactive (confirmed)
m_2065,16.33416666666666,"(2, 0, 1)","(2, 0, 1)",False,0.229399,0.229399,0.0,0.2289532,0.0084984556573532,0.298441,LSTM directional (unconfirmed),LSTM directional (unconfirmed),False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2085,1.5,"(2, 0, 1)","(3, 1, 3)",True,0.363636,0.334812,-0.028824000000000016,0.2150776,0.001983392306126,0.286031,LSTM confirmed cheaper,LSTM confirmed cheaper,False,Reactive wins (confirmed),Reactive wins (confirmed)
m_2087,1.25,"(2, 0, 1)","(1, 0, 1)",True,0.022075,0.022075,0.0,0.022075,0.0,0.0,tied (exact),tied (exact),False,Reactive wins (confirmed),Reactive wins (confirmed)
m_2104,17.5,"(2, 0, 1)","(2, 0, 1)",False,0.286976,0.286976,0.0,0.3068432,0.0103539648714876,0.600442,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2134,38.2,"(2, 0, 1)","(3, 0, 3)",True,0.856512,0.916115,0.05960299999999996,0.8980132,0.0091977759355183,0.671082,ARIMA confirmed cheaper,LSTM confirmed cheaper,True,Reactive wins (confirmed),Reactive wins (confirmed)
m_2163,14.797499999999992,"(2, 0, 1)","(2, 0, 1)",False,0.136865,0.136865,0.0,0.1602648,0.0040943672722412,0.222958,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2183,16.666666666666664,"(2, 0, 1)","(2, 0, 1)",False,0.331126,0.331126,0.0,0.3236204,0.0105959083348243,0.373068,LSTM directional (unconfirmed),LSTM directional (unconfirmed),False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2189,14.485714285714298,"(2, 0, 1)","(2, 0, 1)",False,0.125828,0.125828,0.0,0.1280352,0.0091549941867813,0.275938,ARIMA directional (unconfirmed),ARIMA directional (unconfirmed),False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2241,1.0,"(2, 0, 1)","(2, 0, 3)",True,0.011038,0.011038,0.0,0.011038,0.0,0.0,tied (exact),tied (exact),False,Reactive wins (confirmed),Reactive wins (confirmed)
m_2355,16.6,"(2, 0, 1)","(2, 0, 1)",False,0.318486,0.318486,0.0,0.3349666,0.006843106709675,0.654788,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed),beats Reactive (confirmed)
m_2380,14.333333333333336,"(2, 0, 1)","(1, 0, 2)",True,0.222958,0.222958,0.0,0.1982338,0.0037980196102705,0.211921,LSTM confirmed cheaper,LSTM confirmed cheaper,False,Reactive wins (confirmed),Reactive wins (confirmed)
m_2647,14.560000000000002,"(2, 0, 1)","(4, 0, 3)",True,0.178808,0.1766,-0.0022079999999999878,0.1867547999999999,0.0069245676659268,0.505519,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed),beats Reactive (confirmed)
