machine_id,burstiness,seed,lstm_under_prov_weight,lstm_safety_margin,lstm_horizon_weights,lstm_cost_score_multivariate,lstm_sla_violation_rate_pct_multivariate
m_2056,1.597500000000002,42,5,0.4,front_80_15_05,0.187638,2.649
m_2056,1.597500000000002,43,5,0.4,front_80_15_05,0.19426,2.8698
m_2056,1.597500000000002,44,5,0.4,front_80_15_05,0.189845,2.649
m_2056,1.597500000000002,45,5,0.4,front_80_15_05,0.187638,2.649
m_2056,1.597500000000002,46,5,0.4,front_80_15_05,0.256071,4.1943
m_2065,16.33416666666666,42,5,0.35,uniform,0.474388,7.5724
m_2065,16.33416666666666,43,5,0.35,uniform,0.360802,4.8998
m_2065,16.33416666666666,44,5,0.35,uniform,0.55902,8.9087
m_2065,16.33416666666666,45,5,0.35,uniform,0.556793,8.686
m_2065,16.33416666666666,46,5,0.35,uniform,0.596882,9.5768
m_2085,1.5,42,5,0.35,uniform,0.248337,3.9911
m_2085,1.5,43,5,0.35,uniform,0.175166,2.2173
m_2085,1.5,44,5,0.35,uniform,0.24612,3.7694
m_2085,1.5,45,5,0.35,uniform,0.190687,2.6608
m_2085,1.5,46,5,0.35,uniform,0.305987,5.3215
m_2087,1.25,42,5,0.1,uniform,0.022075,0.4415
m_2087,1.25,43,5,0.1,uniform,0.022075,0.4415
m_2087,1.25,44,5,0.1,uniform,0.022075,0.4415
m_2087,1.25,45,5,0.1,uniform,0.022075,0.4415
m_2087,1.25,46,5,0.1,uniform,0.022075,0.4415
m_2104,17.5,42,5,0.4,linear_321,0.306843,3.7528
m_2104,17.5,43,5,0.4,linear_321,0.339956,4.6358
m_2104,17.5,44,5,0.4,linear_321,0.326711,4.1943
m_2104,17.5,45,5,0.4,linear_321,0.359823,5.298
m_2104,17.5,46,5,0.4,linear_321,0.392936,5.9603
m_2134,38.2,42,20,0.4,uniform,2.059603,8.6093
m_2134,38.2,43,20,0.4,uniform,2.181015,9.2715
m_2134,38.2,44,20,0.4,uniform,2.18543,9.2715
m_2134,38.2,45,20,0.4,uniform,2.099338,8.83
m_2134,38.2,46,20,0.4,uniform,2.15011,9.0508
m_2163,14.797499999999992,42,5,0.3,uniform,0.203091,3.0905
m_2163,14.797499999999992,43,5,0.3,uniform,0.306843,5.298
m_2163,14.797499999999992,44,5,0.3,uniform,0.18543,2.649
m_2163,14.797499999999992,45,5,0.3,uniform,0.331126,5.7395
m_2163,14.797499999999992,46,5,0.3,uniform,0.216336,3.3113
m_2183,16.666666666666664,42,5,0.35,front_80_15_05,0.701987,11.2583
m_2183,16.666666666666664,43,5,0.35,front_80_15_05,0.721854,11.9205
m_2183,16.666666666666664,44,5,0.35,front_80_15_05,0.907285,16.3355
m_2183,16.666666666666664,45,5,0.35,front_80_15_05,0.746137,12.8035
m_2183,16.666666666666664,46,5,0.35,front_80_15_05,0.772627,13.4658
m_2189,14.485714285714298,42,5,0.4,uniform,0.143488,0.6623
m_2189,14.485714285714298,43,5,0.4,uniform,0.12362,1.1038
m_2189,14.485714285714298,44,5,0.4,uniform,0.125828,0.6623
m_2189,14.485714285714298,45,5,0.4,uniform,0.145695,1.3245
m_2189,14.485714285714298,46,5,0.4,uniform,0.15894,1.766
m_2241,1.0,42,5,0.35,uniform,0.015453,0.2208
m_2241,1.0,43,5,0.35,uniform,0.019868,0.2208
m_2241,1.0,44,5,0.35,uniform,0.01766,0.2208
m_2241,1.0,45,5,0.35,uniform,0.01766,0.2208
m_2241,1.0,46,5,0.35,uniform,0.01766,0.2208
m_2355,16.6,42,5,0.4,uniform,0.494432,8.0178
m_2355,16.6,43,5,0.4,uniform,0.414254,5.5679
m_2355,16.6,44,5,0.4,uniform,0.503341,8.686
m_2355,16.6,45,5,0.4,uniform,0.423163,5.7906
m_2355,16.6,46,5,0.4,uniform,0.36971,5.1225
m_2380,14.333333333333336,42,5,0.4,uniform,0.238411,3.0905
m_2380,14.333333333333336,43,5,0.4,uniform,0.211921,2.2075
m_2380,14.333333333333336,44,5,0.4,uniform,0.220751,2.649
m_2380,14.333333333333336,45,5,0.4,uniform,0.189845,1.766
m_2380,14.333333333333336,46,5,0.4,uniform,0.249448,3.3113
m_2647,14.560000000000002,42,5,0.25,uniform,0.218543,2.649
m_2647,14.560000000000002,43,5,0.25,uniform,0.240618,3.3113
m_2647,14.560000000000002,44,5,0.25,uniform,0.247241,3.3113
m_2647,14.560000000000002,45,5,0.25,uniform,0.229581,3.0905
m_2647,14.560000000000002,46,5,0.25,uniform,0.203091,2.4283
