machine_id,burstiness,lstm_uni_cost,lstm_uni_cost_std,lstm_mv_cost,lstm_mv_cost_std,lstm_mv_sla,own_verdict,arima_cost_order_corrected,reactive_cost,h2h_verdict_univariate,h2h_verdict_multivariate,h2h_changed,vs_reactive_multivariate
m_2056,1.597500000000002,0.1249448,0.0077230729220951,0.2030904,0.026600428166478823,3.0022200000000003,multivariate confirmed worse,0.165563,0.236203,LSTM confirmed cheaper,ARIMA confirmed cheaper,True,beats Reactive (confirmed)
m_2065,16.33416666666666,0.2289532,0.0084984556573532,0.509577,0.08446110380050689,7.92874,multivariate confirmed worse,0.229399,0.298441,LSTM directional (unconfirmed),ARIMA confirmed cheaper,True,Reactive wins (confirmed)
m_2085,1.5,0.2150776,0.001983392306126,0.23325939999999998,0.046624639883220555,3.5920199999999993,tied,0.334812,0.286031,LSTM confirmed cheaper,LSTM confirmed cheaper,False,beats Reactive (confirmed)
m_2087,1.25,0.022075,0.0,0.022075,0.0,0.4415,tied,0.022075,0.0,tied (exact),tied (exact),False,Reactive wins (confirmed)
m_2104,17.5,0.3068432,0.0103539648714876,0.34525379999999994,0.029438564702784012,4.7682400000000005,tied,0.286976,0.600442,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed)
m_2134,38.2,0.8980132,0.0091977759355183,2.1350992,0.04867301896287103,9.006620000000002,multivariate confirmed worse,0.916115,0.671082,LSTM confirmed cheaper,ARIMA confirmed cheaper,True,Reactive wins (confirmed)
m_2163,14.797499999999992,0.1602648,0.0040943672722412,0.2485652,0.05883071535652102,4.01766,multivariate confirmed worse,0.136865,0.222958,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,Reactive directional
m_2183,16.666666666666664,0.3236204,0.0105959083348243,0.7699779999999999,0.07261861770648075,13.156720000000002,multivariate confirmed worse,0.331126,0.373068,LSTM directional (unconfirmed),ARIMA confirmed cheaper,True,Reactive wins (confirmed)
m_2189,14.485714285714298,0.1280352,0.0091549941867813,0.13951419999999998,0.013200702593422823,1.10378,tied,0.125828,0.275938,ARIMA directional (unconfirmed),ARIMA confirmed cheaper,True,beats Reactive (confirmed)
m_2241,1.0,0.011038,0.0,0.017660199999999997,0.0013961456084520697,0.22080000000000002,multivariate confirmed worse,0.011038,0.0,tied (exact),ARIMA confirmed cheaper,True,Reactive wins (confirmed)
m_2355,16.6,0.3349666,0.006843106709675,0.44098000000000004,0.0507092656030434,6.63696,multivariate confirmed worse,0.318486,0.654788,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed)
m_2380,14.333333333333336,0.1982338,0.0037980196102705,0.2220752,0.020783530098614143,2.60486,tied,0.222958,0.211921,LSTM confirmed cheaper,LSTM directional (unconfirmed),True,Reactive directional
m_2647,14.560000000000002,0.1867547999999999,0.0069245676659268,0.22781479999999998,0.01575849739537371,2.95808,multivariate confirmed worse,0.1766,0.505519,ARIMA confirmed cheaper,ARIMA confirmed cheaper,False,beats Reactive (confirmed)
