machine_id,seed,variant,under_prov_weight,safety_margin,val_cost,cost_score,sla_violation_rate_pct,over_prov_waste_pct,forecast_rmse,forecast_mae
m_2056,42,pooled_no_finetune,5,0.05,0.99117,1.0,0.2208,98.8962,9.66974,9.622424
m_2056,42,pooled_finetuned,5,0.35,0.211921,0.094923,0.2208,8.3885,0.762251,0.588735
m_2065,42,pooled_no_finetune,5,0.3,0.386161,0.238307,2.4499,11.5813,9.410179,7.003257
m_2065,42,pooled_finetuned,5,0.25,0.395089,0.309577,4.0089,10.9131,9.370297,7.025005
m_2085,42,pooled_no_finetune,5,0.05,0.995556,0.993348,0.0,99.3348,9.756372,9.711724
m_2085,42,pooled_finetuned,5,0.2,0.148889,0.412417,7.7605,2.439,0.693348,0.518473
m_2087,42,pooled_no_finetune,5,0.05,0.997792,0.99117,0.0,99.117,8.298254,8.255666
m_2087,42,pooled_finetuned,5,0.05,0.0,0.022075,0.4415,0.0,0.51299,0.401088
m_2104,42,pooled_no_finetune,5,0.35,0.430464,0.302428,3.532,12.5828,8.073838,6.17245
m_2104,42,pooled_finetuned,5,0.35,0.452539,0.304636,2.8698,16.1148,8.180083,6.37007
m_2134,42,pooled_no_finetune,5,0.3,0.457965,1.068433,16.9978,21.8543,17.927886,14.428046
m_2134,42,pooled_finetuned,5,0.4,0.431416,0.89404,11.9205,29.8013,17.640227,14.27571
m_2163,42,pooled_no_finetune,5,0.4,0.211921,0.156733,1.5453,7.947,7.425951,5.589703
m_2163,42,pooled_finetuned,5,0.3,0.222958,0.156733,2.2075,4.6358,7.38021,5.612079
m_2183,42,pooled_no_finetune,5,0.4,0.470199,0.295806,2.649,16.3355,9.309594,6.671172
m_2183,42,pooled_finetuned,5,0.4,0.406181,0.298013,2.4283,17.66,9.124013,6.699041
m_2189,42,pooled_no_finetune,5,0.3,0.209713,0.110375,1.1038,5.5188,6.367525,4.803774
m_2189,42,pooled_finetuned,5,0.25,0.214128,0.14128,1.766,5.298,6.39275,4.93012
m_2241,42,pooled_no_finetune,5,0.05,0.993377,0.993377,0.0,99.3377,8.557182,8.531173
m_2241,42,pooled_finetuned,5,0.2,0.0,0.011038,0.2208,0.0,0.495484,0.384759
m_2355,42,pooled_no_finetune,5,0.35,0.498886,0.320713,3.118,16.4811,7.968154,6.118124
m_2355,42,pooled_finetuned,5,0.4,0.496659,0.331849,3.3408,16.4811,8.097797,6.115011
m_2380,42,pooled_no_finetune,5,0.3,0.209713,0.222958,3.0905,6.8433,7.234069,5.648356
m_2380,42,pooled_finetuned,5,0.3,0.207506,0.205298,2.649,7.2848,7.216056,5.700337
m_2647,42,pooled_no_finetune,5,0.35,0.253863,0.192053,1.3245,12.5828,6.634807,5.166123
m_2647,42,pooled_finetuned,5,0.35,0.251656,0.187638,1.3245,12.1413,6.669987,5.230684
m_2056,43,pooled_no_finetune,5,0.05,0.430464,0.300221,0.2208,28.9183,2.251287,1.848394
m_2056,43,pooled_finetuned,5,0.3,0.209713,0.13245,1.3245,6.6225,0.719417,0.541467
m_2065,43,pooled_no_finetune,5,0.35,0.375,0.233853,2.0045,13.363,9.211151,6.887995
m_2065,43,pooled_finetuned,5,0.4,0.375,0.229399,1.7817,14.0312,9.386339,6.940832
m_2085,43,pooled_no_finetune,5,0.05,0.602222,0.266075,0.0,26.6075,2.233354,1.819322
m_2085,43,pooled_finetuned,5,0.2,0.148889,0.412417,7.7605,2.439,0.690317,0.515425
m_2087,43,pooled_no_finetune,5,0.05,0.284768,0.108168,0.0,10.8168,2.17447,1.804635
m_2087,43,pooled_finetuned,5,0.05,0.0,0.022075,0.4415,0.0,0.511768,0.400159
m_2104,43,pooled_no_finetune,5,0.35,0.430464,0.298013,3.3113,13.245,8.06851,6.165492
m_2104,43,pooled_finetuned,5,0.4,0.443709,0.291391,2.8698,14.7903,7.994623,6.095124
m_2134,43,pooled_no_finetune,5,0.3,0.460177,1.0883,17.4393,21.6336,17.899367,14.435604
m_2134,43,pooled_finetuned,5,0.4,0.438053,0.909492,12.362,29.1391,17.799863,14.327986
m_2163,43,pooled_no_finetune,5,0.4,0.214128,0.165563,1.5453,8.83,7.434919,5.617548
m_2163,43,pooled_finetuned,5,0.3,0.214128,0.154525,2.2075,4.415,7.368947,5.57407
m_2183,43,pooled_no_finetune,5,0.4,0.437086,0.302428,2.649,16.9978,9.076215,6.569508
m_2183,43,pooled_finetuned,5,0.35,0.456954,0.362031,4.6358,13.0243,9.384193,6.635685
m_2189,43,pooled_no_finetune,5,0.3,0.214128,0.112583,1.1038,5.7395,6.384769,4.826715
m_2189,43,pooled_finetuned,5,0.3,0.214128,0.110375,1.1038,5.5188,6.362104,4.793464
m_2241,43,pooled_no_finetune,5,0.05,0.333333,0.315673,0.0,31.5673,2.168954,1.789178
m_2241,43,pooled_finetuned,5,0.2,0.0,0.011038,0.2208,0.0,0.473854,0.364693
m_2355,43,pooled_no_finetune,5,0.3,0.492205,0.336303,3.7862,14.6993,7.993861,6.168198
m_2355,43,pooled_finetuned,5,0.35,0.487751,0.334076,3.5635,15.5902,7.996645,6.089725
m_2380,43,pooled_no_finetune,5,0.3,0.203091,0.203091,2.649,7.064,7.250623,5.658481
m_2380,43,pooled_finetuned,5,0.3,0.205298,0.227373,3.0905,7.2848,7.204758,5.666152
m_2647,43,pooled_no_finetune,5,0.25,0.247241,0.154525,1.5453,7.7263,6.664221,5.191847
m_2647,43,pooled_finetuned,5,0.35,0.251656,0.174393,1.3245,10.8168,6.677199,5.221403
m_2056,44,pooled_no_finetune,5,0.05,0.403974,0.280353,0.2208,26.9316,2.600708,2.345654
m_2056,44,pooled_finetuned,5,0.3,0.196468,0.12362,1.1038,6.8433,0.72991,0.557111
m_2065,44,pooled_no_finetune,5,0.35,0.383929,0.224944,1.559,14.6993,9.108056,6.90062
m_2065,44,pooled_finetuned,5,0.4,0.390625,0.22049,1.1136,16.4811,9.005378,6.780131
m_2085,44,pooled_no_finetune,5,0.05,0.495556,0.235033,0.0,23.5033,2.574952,2.315696
m_2085,44,pooled_finetuned,5,0.25,0.148889,0.321508,5.765,3.3259,0.694668,0.515502
m_2087,44,pooled_no_finetune,5,0.05,0.286976,0.108168,0.0,10.8168,2.638172,2.435367
m_2087,44,pooled_finetuned,5,0.05,0.0,0.022075,0.4415,0.0,0.512949,0.401881
m_2104,44,pooled_no_finetune,5,0.35,0.430464,0.302428,3.0905,14.7903,8.07891,6.212511
m_2104,44,pooled_finetuned,5,0.35,0.428256,0.295806,3.532,11.9205,8.040488,6.119718
m_2134,44,pooled_no_finetune,5,0.4,0.449115,0.880795,11.6998,29.5806,17.866715,14.502888
m_2134,44,pooled_finetuned,5,0.4,0.44469,0.94702,13.245,28.4768,17.82098,14.315536
m_2163,44,pooled_no_finetune,5,0.35,0.220751,0.15011,1.766,6.181,7.381313,5.634517
m_2163,44,pooled_finetuned,5,0.3,0.214128,0.156733,2.2075,4.6358,7.368635,5.669101
m_2183,44,pooled_no_finetune,5,0.4,0.421634,0.300221,2.4283,17.8808,8.964853,6.646118
m_2183,44,pooled_finetuned,5,0.35,0.463576,0.337748,3.9735,13.9073,9.060448,6.55253
m_2189,44,pooled_no_finetune,5,0.25,0.209713,0.139073,1.766,5.0773,6.369134,4.859782
m_2189,44,pooled_finetuned,5,0.3,0.216336,0.116998,1.1038,6.181,6.364311,4.866312
m_2241,44,pooled_no_finetune,5,0.05,0.333333,0.309051,0.0,30.9051,2.615215,2.416713
m_2241,44,pooled_finetuned,5,0.2,0.0,0.011038,0.2208,0.0,0.462794,0.345267
m_2355,44,pooled_no_finetune,5,0.35,0.498886,0.320713,2.4499,19.8218,8.034588,6.250125
m_2355,44,pooled_finetuned,5,0.35,0.492205,0.336303,3.7862,14.6993,8.013587,6.085301
m_2380,44,pooled_no_finetune,5,0.3,0.207506,0.205298,2.649,7.2848,7.213661,5.698247
m_2380,44,pooled_finetuned,5,0.4,0.203091,0.196468,1.1038,14.128,7.23417,5.749669
m_2647,44,pooled_no_finetune,5,0.3,0.251656,0.178808,1.5453,10.1545,6.620948,5.194609
