machine_id,in_pool_cluster,lstm_baseline_cost,lstm_baseline_std,arima_cost,reactive_cost,pooled_no_finetune_cost,pooled_no_finetune_std,pooled_no_finetune_verdict,pooled_finetuned_cost,pooled_finetuned_std,pooled_finetuned_verdict
m_2056,False,0.12052960000000001,0.006548688670260631,0.103753,0.236203,0.3748344,0.3569387261482004,tied,0.12141280000000002,0.017027728436288858,tied
m_2065,True,0.22538960000000002,0.011069034659806609,0.200445,0.298441,0.2267258,0.010254703345294783,tied,0.24276179999999997,0.03753300837529547,tied
m_2085,False,0.2128604,0.005866481083238913,0.363636,0.286031,0.35476699999999994,0.3614360893622827,tied,0.3942352,0.04065574075330566,pooled confirmed worse
m_2087,False,0.022075,0.0,0.022075,0.0,0.2543048,0.413694940661836,tied,0.022075,0.0,tied
m_2104,True,0.30463559999999995,0.008259641868749515,0.300221,0.600442,0.30110359999999997,0.0019743921343036153,pooled directional better,0.29448140000000006,0.006548520122898,pooled directional better
m_2134,True,0.919647,0.030170961328734616,0.913907,0.671082,0.962031,0.10770944596227391,tied,0.9081678,0.02370366695682335,pooled directional better
m_2163,False,0.14878580000000002,0.005082090091684723,0.143488,0.222958,0.17660040000000002,0.03455293625439088,tied,0.15629140000000002,0.0009874476188639141,pooled confirmed worse
m_2183,True,0.29713019999999996,0.019155661557356866,0.306843,0.373068,0.29713019999999996,0.005082090091684704,tied,0.33333320000000005,0.022888015929739308,tied
m_2189,False,0.13907259999999996,0.004415125003892863,0.103753,0.275938,0.12891840000000002,0.01604063607841036,pooled directional better,0.13333319999999999,0.030372321885229647,pooled directional better
m_2241,False,0.011038,0.0,0.011038,0.0,0.3558498,0.37505943912025463,tied,0.011038,0.0,tied
m_2355,True,0.3340758,0.003149807168700967,0.32294,0.654788,0.32739440000000003,0.006864561661169628,pooled directional better,0.33184880000000005,0.004166736396749869,pooled directional better
m_2380,False,0.2,0.006359919378419824,0.205298,0.211921,0.20529799999999998,0.013518284820937893,tied,0.19646780000000003,0.021572825630871813,pooled directional better
m_2647,False,0.1924942,0.0036272622182577227,0.183223,0.505519,0.17880780000000002,0.016739428326558826,pooled directional better,0.184106,0.007254585274155929,pooled directional better
