machine_id,seed,variant,under_prov_weight,safety_margin,val_cost,cost_score,sla_violation_rate_pct,w
m_2056,42,residual_hybrid,5,0.3,0.211921,0.116998,0.883,
m_2056,42,blend,5,0.35,0.207506,0.112583,0.6623,0.8
m_2056,43,residual_hybrid,5,0.4,0.216336,0.108168,0.4415,
m_2056,43,blend,5,0.4,0.205298,0.103753,0.4415,0.1
m_2056,44,residual_hybrid,5,0.4,0.209713,0.101545,0.4415,
m_2056,44,blend,5,0.35,0.198675,0.130243,1.1038,1.0
m_2056,45,residual_hybrid,5,0.4,0.211921,0.10596,0.4415,
m_2056,45,blend,5,0.4,0.207506,0.103753,0.4415,0.1
m_2056,46,residual_hybrid,5,0.4,0.209713,0.108168,0.4415,
m_2056,46,blend,5,0.4,0.209713,0.103753,0.4415,0.0
m_2065,42,residual_hybrid,5,0.35,0.375,0.202673,1.559,
m_2065,42,blend,5,0.35,0.366071,0.200445,1.559,0.0
m_2065,43,residual_hybrid,5,0.35,0.363839,0.22049,2.0045,
m_2065,43,blend,5,0.35,0.366071,0.200445,1.559,0.0
m_2065,44,residual_hybrid,5,0.35,0.388393,0.22049,2.0045,
m_2065,44,blend,5,0.35,0.366071,0.200445,1.559,0.0
m_2065,45,residual_hybrid,5,0.35,0.370536,0.200445,1.559,
m_2065,45,blend,5,0.35,0.366071,0.200445,1.559,0.0
m_2065,46,residual_hybrid,5,0.4,0.381696,0.218263,1.559,
m_2065,46,blend,5,0.35,0.366071,0.200445,1.559,0.0
m_2085,42,residual_hybrid,5,0.25,0.148889,0.341463,6.2084,
m_2085,42,blend,5,0.25,0.148889,0.363636,6.6519,0.0
m_2085,43,residual_hybrid,5,0.25,0.148889,0.35255,6.4302,
m_2085,43,blend,5,0.25,0.148889,0.363636,6.6519,0.0
m_2085,44,residual_hybrid,5,0.25,0.148889,0.35255,6.4302,
m_2085,44,blend,5,0.25,0.148889,0.363636,6.6519,0.0
m_2085,45,residual_hybrid,5,0.25,0.148889,0.32816,5.765,
m_2085,45,blend,5,0.25,0.148889,0.363636,6.6519,0.0
m_2085,46,residual_hybrid,5,0.25,0.148889,0.35255,6.4302,
m_2085,46,blend,5,0.25,0.148889,0.363636,6.6519,0.0
m_2087,42,residual_hybrid,5,0.05,0.0,0.022075,0.4415,
m_2087,42,blend,5,0.05,0.0,0.022075,0.4415,0.0
m_2087,43,residual_hybrid,5,0.05,0.0,0.022075,0.4415,
m_2087,43,blend,5,0.05,0.0,0.022075,0.4415,0.0
m_2087,44,residual_hybrid,5,0.05,0.0,0.022075,0.4415,
m_2087,44,blend,5,0.05,0.0,0.022075,0.4415,0.0
m_2087,45,residual_hybrid,5,0.05,0.0,0.022075,0.4415,
m_2087,45,blend,5,0.05,0.0,0.022075,0.4415,0.0
m_2087,46,residual_hybrid,5,0.05,0.0,0.022075,0.4415,
m_2087,46,blend,5,0.05,0.0,0.022075,0.4415,0.0
m_2104,42,residual_hybrid,5,0.35,0.417219,0.273731,3.0905,
m_2104,42,blend,5,0.4,0.412804,0.300221,3.0905,0.0
m_2104,43,residual_hybrid,5,0.35,0.415011,0.295806,3.532,
m_2104,43,blend,5,0.4,0.412804,0.300221,3.0905,0.0
m_2104,44,residual_hybrid,5,0.35,0.403974,0.298013,3.532,
m_2104,44,blend,5,0.4,0.412804,0.300221,3.0905,0.0
m_2104,45,residual_hybrid,5,0.35,0.421634,0.271523,3.0905,
m_2104,45,blend,5,0.4,0.412804,0.300221,3.0905,0.0
m_2104,46,residual_hybrid,5,0.4,0.421634,0.291391,3.0905,
m_2104,46,blend,5,0.4,0.412804,0.300221,3.0905,0.0
m_2134,42,residual_hybrid,5,0.35,0.409292,0.922737,12.8035,
m_2134,42,blend,5,0.35,0.404867,0.913907,12.8035,0.0
m_2134,43,residual_hybrid,5,0.35,0.409292,0.918322,12.8035,
m_2134,43,blend,5,0.35,0.393805,0.924945,13.0243,0.1
m_2134,44,residual_hybrid,5,0.35,0.402655,0.880795,11.6998,
m_2134,44,blend,5,0.35,0.39823,0.927152,13.0243,0.1
m_2134,45,residual_hybrid,5,0.35,0.393805,0.880795,11.6998,
m_2134,45,blend,5,0.35,0.393805,0.927152,13.0243,0.1
m_2134,46,residual_hybrid,5,0.35,0.409292,0.918322,12.8035,
m_2134,46,blend,5,0.35,0.400442,0.927152,13.0243,0.1
m_2163,42,residual_hybrid,5,0.35,0.211921,0.139073,1.766,
m_2163,42,blend,5,0.35,0.216336,0.143488,1.766,0.0
m_2163,43,residual_hybrid,5,0.35,0.214128,0.14128,1.766,
