machine_id,burstiness_score,cluster,is_stress_test,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,seed,lstm_forecast_rmse,lstm_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,epochs_trained,wall_clock_secs
m_2065,16.33416666666666,0,0,60,35,5,0.25,42,9.037969,6.706254,9.318098,44.098,42.9844,0.8909,1.1136,2.213808,2.160356,32,8.3
m_2065,16.33416666666666,0,0,60,35,5,0.25,43,9.081293,6.754492,9.318098,44.098,42.9844,0.6682,1.1136,2.211581,2.160356,42,10.7
m_2065,16.33416666666666,0,0,60,35,5,0.25,44,9.131576,6.811766,9.318098,44.098,42.9844,0.8909,1.1136,2.213808,2.160356,34,8.9
m_2065,16.33416666666666,0,0,60,35,5,0.25,45,8.970349,6.684665,9.318098,44.098,42.9844,0.8909,1.1136,2.213808,2.160356,41,10.6
m_2065,16.33416666666666,0,0,60,35,5,0.25,46,9.148951,6.817726,9.318098,44.098,42.9844,0.6682,1.1136,2.211581,2.160356,37,9.9
m_2101,7.5,1,0,60,10,5,0.05,42,39.577024,36.09906,9.951687,91.8322,41.7219,8.1678,11.9205,4.673289,2.205298,12,3.6
m_2101,7.5,1,0,60,10,5,0.05,43,39.593343,36.11533,9.951687,91.8322,41.7219,8.1678,11.9205,4.673289,2.205298,24,6.4
m_2101,7.5,1,0,60,10,5,0.05,44,39.561722,36.083641,9.951687,91.8322,41.7219,8.1678,11.9205,4.673289,2.205298,18,5.0
m_2101,7.5,1,0,60,10,5,0.05,45,39.549798,36.071423,9.951687,91.8322,41.7219,8.1678,11.9205,4.673289,2.205298,28,7.4
m_2101,7.5,1,0,60,10,5,0.05,46,39.584905,36.107109,9.951687,91.8322,41.7219,8.1678,11.9205,4.673289,2.205298,12,4.4
m_2087,1.25,2,0,60,40,5,0.2,42,0.519214,0.406082,0.637191,0.4415,0.2208,0.0,0.0,0.022075,0.011038,15,4.3
m_2087,1.25,2,0,60,40,5,0.2,43,0.52069,0.408271,0.637191,0.4415,0.2208,0.0,0.0,0.022075,0.011038,15,4.5
m_2087,1.25,2,0,60,40,5,0.2,44,0.516071,0.404318,0.637191,0.4415,0.2208,0.0,0.0,0.022075,0.011038,20,5.6
m_2087,1.25,2,0,60,40,5,0.2,45,0.509643,0.398473,0.637191,0.4415,0.2208,0.0,0.0,0.022075,0.011038,25,6.7
m_2087,1.25,2,0,60,40,5,0.2,46,0.526203,0.408768,0.637191,0.4415,0.2208,0.0,0.0,0.022075,0.011038,18,5.1
m_2189,14.485714285714298,3,0,60,10,5,0.2,42,6.446002,4.950551,7.446429,62.4724,62.0309,0.0,0.0,3.12362,3.101545,50,12.4
m_2189,14.485714285714298,3,0,60,10,5,0.2,43,6.468407,4.876893,7.446429,62.4724,62.0309,0.0,0.0,3.12362,3.101545,44,12.0
m_2189,14.485714285714298,3,0,60,10,5,0.2,44,6.494694,4.919497,7.446429,62.4724,62.0309,0.0,0.0,3.12362,3.101545,33,8.8
m_2189,14.485714285714298,3,0,60,10,5,0.2,45,6.408759,4.867322,7.446429,62.4724,62.0309,0.0,0.0,3.12362,3.101545,49,12.4
m_2189,14.485714285714298,3,0,60,10,5,0.2,46,6.443869,4.890625,7.446429,62.4724,62.0309,0.0,0.0,3.12362,3.101545,41,10.5
m_2134,38.2,0,1,65,40,5,0.35,42,17.559919,14.206869,23.51148,56.2914,56.5121,1.9868,0.883,2.834437,2.834437,46,11.6
m_2134,38.2,0,1,65,40,5,0.35,43,17.581891,14.193572,23.51148,56.2914,56.5121,1.9868,0.883,2.834437,2.834437,60,15.1
m_2134,38.2,0,1,65,40,5,0.35,44,17.678314,14.200319,23.51148,56.2914,56.5121,1.9868,0.883,2.834437,2.834437,28,7.5
m_2134,38.2,0,1,65,40,5,0.35,45,17.589888,14.2087,23.51148,56.2914,56.5121,2.2075,0.883,2.836645,2.834437,30,8.2
m_2134,38.2,0,1,65,40,5,0.35,46,17.494712,14.196279,23.51148,56.2914,56.5121,2.2075,0.883,2.836645,2.834437,47,12.2
