machine_id,burstiness_score,cluster,is_stress_test,demand_scale,demand_mean_pct,demand_p95_pct,demand_p99_pct,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,seed,lstm_forecast_rmse,lstm_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,epochs_trained,wall_clock_secs
m_2087,1.25,2,0,16.1119,115.0,139.64,147.61,60,40,5,0.05,42,0.516955,0.404306,0.637191,0.4415,0.0,0.0,0.0,0.022075,0.0,18,5.2
m_2087,1.25,2,0,16.1119,115.0,139.64,147.61,60,40,5,0.05,43,0.520261,0.408533,0.637191,0.4415,0.0,0.0,0.0,0.022075,0.0,16,4.3
m_2087,1.25,2,0,16.1119,115.0,139.64,147.61,60,40,5,0.05,44,0.51969,0.407343,0.637191,0.4415,0.0,0.0,0.0,0.022075,0.0,17,4.8
m_2087,1.25,2,0,16.1119,115.0,139.64,147.61,60,40,5,0.05,45,0.512183,0.399934,0.637191,0.4415,0.0,0.0,0.0,0.022075,0.0,22,6.0
m_2087,1.25,2,0,16.1119,115.0,139.64,147.61,60,40,5,0.05,46,0.515159,0.399337,0.637191,0.4415,0.0,0.0,0.0,0.022075,0.0,31,8.0
m_2189,14.4857,3,0,2.6381,115.0,166.2,185.27,75,30,5,0.3,42,6.446189,4.946778,7.446429,0.883,1.1038,6.6225,22.0751,0.110375,0.275938,51,12.8
m_2189,14.4857,3,0,2.6381,115.0,166.2,185.27,75,30,5,0.3,43,6.443955,4.868676,7.446429,1.1038,1.1038,6.181,22.0751,0.116998,0.275938,45,11.5
m_2189,14.4857,3,0,2.6381,115.0,166.2,185.27,75,30,5,0.3,44,6.497974,4.918917,7.446429,1.3245,1.1038,6.181,22.0751,0.128035,0.275938,36,9.5
m_2189,14.4857,3,0,2.6381,115.0,166.2,185.27,75,30,5,0.3,45,6.422261,4.887562,7.446429,1.1038,1.1038,6.6225,22.0751,0.121413,0.275938,47,11.8
m_2189,14.4857,3,0,2.6381,115.0,166.2,185.27,75,30,5,0.3,46,6.425475,4.879564,7.446429,1.1038,1.1038,6.181,22.0751,0.116998,0.275938,47,11.8
m_2065,16.3342,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.35,42,9.628195,7.070774,9.318098,2.2272,0.6682,14.2539,26.5033,0.253898,0.298441,17,4.8
m_2065,16.3342,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.35,43,9.00582,6.681477,9.318098,2.4499,0.6682,12.2494,26.5033,0.244989,0.298441,42,10.6
m_2065,16.3342,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.35,44,9.244257,6.849359,9.318098,2.0045,0.6682,13.5857,26.5033,0.23608,0.298441,26,6.9
m_2065,16.3342,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.35,45,8.917994,6.674436,9.318098,1.7817,0.6682,13.363,26.5033,0.222717,0.298441,51,12.3
m_2065,16.3342,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.35,46,9.199773,6.8415,9.318098,2.4499,0.6682,13.1403,26.5033,0.253898,0.298441,34,8.7
m_2134,38.2,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.4,42,17.568346,14.209199,23.51148,11.9205,2.4283,30.4636,54.9669,0.900662,0.671082,42,10.3
m_2134,38.2,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.4,43,17.595994,14.18292,23.51148,12.1413,2.4283,29.5806,54.9669,0.90287,0.671082,55,13.5
m_2134,38.2,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.4,44,17.545472,14.192319,23.51148,11.6998,2.4283,30.2428,54.9669,0.887417,0.671082,55,13.5
m_2134,38.2,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.4,45,17.592615,14.218923,23.51148,11.0375,2.4283,30.4636,54.9669,0.856512,0.671082,32,8.3
m_2134,38.2,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.4,46,17.485906,14.218568,23.51148,11.2583,2.4283,31.3466,54.9669,0.87638,0.671082,46,11.4
