machine_id,burstiness_score,demand_scale,demand_mean_pct,demand_p95_pct,demand_p99_pct,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,arima_under_prov_weight_tuned,arima_safety_margin_tuned,arima_order,seed,lstm_forecast_rmse,lstm_forecast_mae,arima_forecast_rmse,arima_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,arima_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,arima_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,arima_cost_score,epochs_trained,wall_clock_secs,arima_wall_clock_secs
m_1933,1.333333333333333,20.236453099849783,115.0,141.66,161.89,80,10,5,0.1,5,0.1,"(2, 0, 1)",42,0.576478,0.438038,0.577403,0.435478,0.753139,5.0773,0.2208,5.0773,0.0,24.7241,0.0,0.253863,0.258278,0.253863,31,7.4,1.9
m_1933,1.333333333333333,20.236453099849783,115.0,141.66,161.89,80,10,5,0.1,5,0.1,"(2, 0, 1)",43,0.587313,0.441675,0.577403,0.435478,0.753139,5.0773,0.2208,5.0773,0.0,24.7241,0.0,0.253863,0.258278,0.253863,14,3.9,1.9
m_1933,1.333333333333333,20.236453099849783,115.0,141.66,161.89,80,10,5,0.1,5,0.1,"(2, 0, 1)",44,0.574688,0.437055,0.577403,0.435478,0.753139,5.0773,0.2208,5.0773,0.0,24.7241,0.0,0.253863,0.258278,0.253863,33,8.1,1.9
m_1933,1.333333333333333,20.236453099849783,115.0,141.66,161.89,80,10,5,0.1,5,0.1,"(2, 0, 1)",45,0.584251,0.439615,0.577403,0.435478,0.753139,5.0773,0.2208,5.0773,0.0,24.7241,0.0,0.253863,0.258278,0.253863,20,5.2,1.9
m_1933,1.333333333333333,20.236453099849783,115.0,141.66,161.89,80,10,5,0.1,5,0.1,"(2, 0, 1)",46,0.576301,0.442282,0.577403,0.435478,0.753139,5.0773,0.2208,5.0773,0.0,24.7241,0.0,0.253863,0.258278,0.253863,27,7.0,1.9
m_2189,14.485714285714298,2.6380937030670535,115.0,166.2,185.27,75,30,5,0.3,5,0.3,"(2, 0, 1)",42,6.448876,4.944318,6.299371,4.790251,7.446429,1.1038,1.1038,0.883,6.6225,22.0751,5.9603,0.121413,0.275938,0.103753,51,12.2,1.9
m_2189,14.485714285714298,2.6380937030670535,115.0,166.2,185.27,75,30,5,0.3,5,0.3,"(2, 0, 1)",43,6.450732,4.864322,6.299371,4.790251,7.446429,1.1038,1.1038,0.883,6.181,22.0751,5.9603,0.116998,0.275938,0.103753,48,11.7,1.9
m_2189,14.485714285714298,2.6380937030670535,115.0,166.2,185.27,75,30,5,0.3,5,0.3,"(2, 0, 1)",44,6.441281,4.878508,6.299371,4.790251,7.446429,1.3245,1.1038,0.883,6.181,22.0751,5.9603,0.128035,0.275938,0.103753,49,12.2,1.9
m_2189,14.485714285714298,2.6380937030670535,115.0,166.2,185.27,75,30,5,0.3,5,0.3,"(2, 0, 1)",45,6.417024,4.903421,6.299371,4.790251,7.446429,1.1038,1.1038,0.883,6.6225,22.0751,5.9603,0.121413,0.275938,0.103753,48,11.9,1.9
m_2189,14.485714285714298,2.6380937030670535,115.0,166.2,185.27,75,30,5,0.3,5,0.3,"(2, 0, 1)",46,6.438562,4.885078,6.299371,4.790251,7.446429,1.1038,1.1038,0.883,6.6225,22.0751,5.9603,0.121413,0.275938,0.103753,42,10.6,1.9
m_2134,38.2,2.88936411490255,115.0,210.89,241.74,75,20,5,0.4,5,0.35,"(2, 0, 1)",42,17.622894,14.205667,17.309452,14.090887,23.51148,11.9205,2.4283,12.8035,29.5806,54.9669,27.3731,0.891832,0.671082,0.913907,33,10.2,2.1
m_2134,38.2,2.88936411490255,115.0,210.89,241.74,75,20,5,0.4,5,0.35,"(2, 0, 1)",43,17.563203,14.187837,17.309452,14.090887,23.51148,12.1413,2.4283,12.8035,29.5806,54.9669,27.3731,0.90287,0.671082,0.913907,60,15.4,2.1
m_2134,38.2,2.88936411490255,115.0,210.89,241.74,75,20,5,0.4,5,0.35,"(2, 0, 1)",44,17.577646,14.192208,17.309452,14.090887,23.51148,11.479,2.4283,12.8035,30.0221,54.9669,27.3731,0.874172,0.671082,0.913907,33,9.0,2.1
m_2134,38.2,2.88936411490255,115.0,210.89,241.74,75,20,5,0.4,5,0.35,"(2, 0, 1)",45,17.564129,14.219363,17.309452,14.090887,23.51148,10.596,2.4283,12.8035,31.5673,54.9669,27.3731,0.845475,0.671082,0.913907,30,7.7,2.1
m_2134,38.2,2.88936411490255,115.0,210.89,241.74,75,20,5,0.4,5,0.35,"(2, 0, 1)",46,17.537574,14.209976,17.309452,14.090887,23.51148,11.0375,2.4283,12.8035,30.6843,54.9669,27.3731,0.85872,0.671082,0.913907,27,7.0,2.1
