machine_id,burstiness_score,cluster,cluster_rank,is_stress_test,demand_scale,demand_mean_pct,demand_p95_pct,demand_p99_pct,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,seed,lstm_forecast_rmse,lstm_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,epochs_trained,wall_clock_secs,arima_under_prov_weight_tuned,arima_safety_margin_tuned,arima_order,arima_forecast_rmse,arima_forecast_mae,arima_sla_violation_rate_pct,arima_over_prov_waste_pct,arima_cost_score,arima_wall_clock_secs
m_2056,1.597500000000002,2,1,0,23.3077,115.0,163.15,178.69,65,30,5,0.35,42,0.697769,0.521429,0.916671,0.6623,0.2208,8.1678,22.5166,0.11479,0.236203,60,15.2,5,0.4,"(2, 0, 1)",0.704642,0.518758,0.4415,8.1678,0.103753,1.9
m_2056,1.597500000000002,2,1,0,23.3077,115.0,163.15,178.69,65,30,5,0.35,43,0.711997,0.518643,0.916671,1.1038,0.2208,7.5055,22.5166,0.130243,0.236203,44,10.9,5,0.4,"(2, 0, 1)",0.704642,0.518758,0.4415,8.1678,0.103753,1.9
m_2056,1.597500000000002,2,1,0,23.3077,115.0,163.15,178.69,65,30,5,0.35,44,0.700044,0.515042,0.916671,0.883,0.2208,7.947,22.5166,0.12362,0.236203,38,9.8,5,0.4,"(2, 0, 1)",0.704642,0.518758,0.4415,8.1678,0.103753,1.9
m_2056,1.597500000000002,2,1,0,23.3077,115.0,163.15,178.69,65,30,5,0.35,45,0.69867,0.517045,0.916671,0.6623,0.2208,8.1678,22.5166,0.11479,0.236203,34,9.0,5,0.4,"(2, 0, 1)",0.704642,0.518758,0.4415,8.1678,0.103753,1.9
m_2056,1.597500000000002,2,1,0,23.3077,115.0,163.15,178.69,65,30,5,0.35,46,0.697836,0.513389,0.916671,0.883,0.2208,7.5055,22.5166,0.119205,0.236203,60,14.9,5,0.4,"(2, 0, 1)",0.704642,0.518758,0.4415,8.1678,0.103753,1.9
m_2065,16.33416666666666,0,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.4,42,8.873453,6.626227,9.318098,1.1136,0.6682,15.8129,26.5033,0.213808,0.298441,47,11.4,5,0.35,"(2, 0, 1)",8.734591,6.452098,1.559,12.2494,0.200445,1.8
m_2065,16.33416666666666,0,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.4,43,8.979145,6.679282,9.318098,1.559,0.6682,14.922,26.5033,0.227171,0.298441,50,12.8,5,0.35,"(2, 0, 1)",8.734591,6.452098,1.559,12.2494,0.200445,1.8
m_2065,16.33416666666666,0,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.4,44,9.108645,6.771002,9.318098,1.3363,0.6682,15.8129,26.5033,0.224944,0.298441,31,8.0,5,0.35,"(2, 0, 1)",8.734591,6.452098,1.559,12.2494,0.200445,1.8
m_2065,16.33416666666666,0,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.4,45,9.152666,6.795463,9.318098,1.3363,0.6682,17.5947,26.5033,0.242762,0.298441,31,8.0,5,0.35,"(2, 0, 1)",8.734591,6.452098,1.559,12.2494,0.200445,1.8
m_2065,16.33416666666666,0,0,0,3.0973,115.0,185.84,272.97,65,30,5,0.4,46,9.046685,6.718455,9.318098,1.3363,0.6682,15.1448,26.5033,0.218263,0.298441,34,8.2,5,0.35,"(2, 0, 1)",8.734591,6.452098,1.559,12.2494,0.200445,1.8
