machine_id,burstiness,lstm_cost_mean,lstm_cost_std,reactive_cost_mean,reactive_cost_std,arima_cost,lstm_sla_mean,reactive_sla_mean,arima_sla,lstm_vs_reactive,lstm_vs_arima,arima_vs_reactive,bucket
m_2056,1.597500000000002,0.12052960000000001,0.006548688670260631,0.236203,0.0,0.103753,0.83888,0.22080000000000002,0.4415,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2065,16.33416666666666,0.22538960000000002,0.011069034659806609,0.298441,0.0,0.200445,1.3363,0.6682,1.559,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2085,1.5,0.2128604,0.005866481083238913,0.286031,0.0,0.363636,2.8825,4.878,6.6519,confirmed cheaper,confirmed cheaper,confirmed more expensive,LSTM-specific advantage
m_2087,1.25,0.022075,0.0,0.0,0.0,0.022075,0.4415,0.0,0.4415,confirmed more expensive,tied (within ±1σ),confirmed more expensive,Reactive wins outright
m_2104,17.5,0.30463559999999995,0.008259641868749515,0.600442,0.0,0.300221,3.70862,0.22080000000000002,3.0905,confirmed cheaper,tied (within ±1σ),confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2134,38.2,0.919647,0.030170961328734616,0.671082,0.0,0.913907,12.759379999999998,2.4283,12.8035,confirmed more expensive,tied (within ±1σ),confirmed more expensive,Reactive wins outright
m_2163,14.797499999999992,0.14878580000000002,0.005082090091684723,0.222958,0.0,0.143488,1.85432,0.4415,1.766,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2183,16.666666666666664,0.29713019999999996,0.019155661557356866,0.373068,0.0,0.306843,2.7814799999999997,1.1038,3.0905,confirmed cheaper,directional (within ±1σ),confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2189,14.485714285714298,0.13907259999999996,0.004415125003892863,0.275938,0.0,0.103753,1.67772,1.1038,0.883,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2241,1.0,0.011038,0.0,0.0,0.0,0.011038,0.22080000000000002,0.0,0.2208,confirmed more expensive,tied (within ±1σ),confirmed more expensive,Reactive wins outright
m_2355,16.6,0.3340758,0.003149807168700967,0.654788,0.0,0.32294,3.2516800000000003,0.4454000000000001,3.7862,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2380,14.333333333333336,0.2,0.006359919378419824,0.21192099999999997,3.1031676915590914e-17,0.205298,1.4569800000000002,0.22080000000000002,2.649,confirmed cheaper,directional (within ±1σ),confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
m_2647,14.560000000000002,0.1924942,0.0036272622182577227,0.505519,0.0,0.183223,1.28036,0.0,1.1038,confirmed cheaper,confirmed more expensive,confirmed cheaper,forecaster-general advantage (ARIMA matches/beats LSTM)
