machine_id,burstiness,lstm_greedy_cost,lstm_greedy_cost_std,lstm_multistep_cost,lstm_multistep_cost_std,lstm_greedy_sla,lstm_multistep_sla,arima_greedy_cost,arima_multistep_cost,arima_greedy_sla,arima_multistep_sla,lstm_verdict,arima_verdict
m_2056,1.597500000000002,0.12052960000000001,0.006548688670260631,0.12494480000000001,0.0066374398196895135,0.83888,0.9713399999999999,0.103753,0.101545,0.4415,0.4415,tied (within ±1σ),multistep confirmed better
m_2065,16.33416666666666,0.22538960000000002,0.011069034659806609,0.22538960000000002,0.0021823728920603797,1.3363,1.46992,0.200445,0.216036,1.559,2.0045,tied (within ±1σ),multistep confirmed worse
m_2085,1.5,0.2128604,0.005866481083238913,0.21507740000000003,0.0028047821733603534,2.8825,2.97118,0.363636,0.363636,6.6519,6.6519,tied (within ±1σ),tied (within ±1σ)
m_2087,1.25,0.022075,0.0,0.022075,0.0,0.4415,0.4415,0.022075,0.022075,0.4415,0.4415,tied (within ±1σ),tied (within ±1σ)
m_2104,17.5,0.30463559999999995,0.008259641868749515,0.2980134,0.008140857758246366,3.70862,3.26712,0.300221,0.286976,3.0905,3.0905,multistep directional improvement (within ±1σ),multistep confirmed better
m_2134,38.2,0.919647,0.030170961328734616,0.9006622,0.01035422071234721,12.759379999999998,12.141259999999999,0.913907,0.856512,12.8035,11.0375,multistep directional improvement (within ±1σ),multistep confirmed better
m_2163,14.797499999999992,0.14878580000000002,0.005082090091684723,0.15320079999999997,0.0063368146382863436,1.85432,1.5453,0.143488,0.161148,1.766,2.2075,tied (within ±1σ),multistep confirmed worse
m_2183,16.666666666666664,0.29713019999999996,0.019155661557356866,0.3214128,0.01012586615356928,2.7814799999999997,3.3995800000000003,0.306843,0.350993,3.0905,4.415,tied (within ±1σ),multistep confirmed worse
m_2189,14.485714285714298,0.13907259999999996,0.004415125003892863,0.1187638,0.0025745024684392863,1.67772,0.9713200000000001,0.103753,0.128035,0.883,1.5453,multistep confirmed better,multistep confirmed worse
m_2241,1.0,0.011038,0.0,0.011038,0.0,0.22080000000000002,0.22080000000000002,0.011038,0.011038,0.2208,0.2208,tied (within ±1σ),tied (within ±1σ)
m_2355,16.6,0.3340758,0.003149807168700967,0.336303,0.005455585211505734,3.2516800000000003,3.5635,0.32294,0.316258,3.7862,3.3408,tied (within ±1σ),multistep confirmed better
m_2380,14.333333333333336,0.2,0.006359919378419824,0.20220740000000004,0.00921882896250929,1.4569800000000002,1.67772,0.205298,0.222958,2.649,3.0905,tied (within ±1σ),multistep confirmed worse
m_2647,14.560000000000002,0.1924942,0.0036272622182577227,0.2022076,0.008561012944739651,1.28036,1.1038,0.183223,0.178808,1.1038,1.1038,tied (within ±1σ),multistep confirmed better
