step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
0,2026-08-26 01:14:14,140.0,140.56764,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
1,2026-08-26 01:19:14,140.0,144.6898,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
2,2026-08-26 01:24:14,130.0,146.41402,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
3,2026-08-26 01:29:14,132.0,146.40077,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
4,2026-08-26 01:34:14,140.0,144.10257,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
5,2026-08-26 01:39:14,126.66668,143.01218,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
6,2026-08-26 01:44:14,140.0,133.12741,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
7,2026-08-26 01:49:14,137.14285,132.54105,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
8,2026-08-26 01:54:14,148.0,132.35136,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
9,2026-08-26 01:59:14,140.0,134.64044,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
10,2026-08-26 02:04:14,130.0,136.40358,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
11,2026-08-26 02:09:14,135.00002,135.96272,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
12,2026-08-26 02:14:14,149.99998,136.74886,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
13,2026-08-26 02:19:14,149.99998,137.16736,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
14,2026-08-26 02:24:14,151.42857,138.84492,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
15,2026-08-26 02:29:14,140.0,139.97298,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
16,2026-08-26 02:34:14,133.33333,141.2818,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
17,2026-08-26 02:39:14,140.0,142.2067,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
18,2026-08-26 02:44:14,140.0,142.00883,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
19,2026-08-26 02:49:14,140.0,139.93295,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
20,2026-08-26 02:54:14,160.0,138.21512,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
21,2026-08-26 02:59:14,160.0,138.84225,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
22,2026-08-26 03:04:14,140.0,142.32013,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
23,2026-08-26 03:09:14,140.0,144.94055,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
24,2026-08-26 03:14:14,133.33333,145.42133,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
25,2026-08-26 03:19:14,126.66668,144.30788,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
26,2026-08-26 03:24:14,120.0,141.54868,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
27,2026-08-26 03:29:14,128.0,135.16301,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
28,2026-08-26 03:34:14,125.71428,129.66281,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
29,2026-08-26 03:39:14,130.0,127.12876,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
30,2026-08-26 03:44:14,124.0,125.428474,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
31,2026-08-26 03:49:14,135.00002,124.538315,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
32,2026-08-26 03:54:14,130.0,125.481445,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
33,2026-08-26 03:59:14,130.0,127.133865,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
34,2026-08-26 04:04:14,125.0,127.66476,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
35,2026-08-26 04:09:14,128.0,127.851875,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
36,2026-08-26 04:14:14,128.0,127.43367,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
37,2026-08-26 04:19:14,133.33333,127.66641,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
38,2026-08-26 04:24:14,133.33333,127.1555,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
39,2026-08-26 04:29:14,120.0,127.73682,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
40,2026-08-26 04:34:14,133.33333,127.17984,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
41,2026-08-26 04:39:14,133.33333,127.79773,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
42,2026-08-26 04:44:14,133.33333,128.34668,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
43,2026-08-26 04:49:14,140.0,129.09303,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
44,2026-08-26 04:54:14,135.00002,130.02972,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
45,2026-08-26 04:59:14,125.0,130.98056,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
46,2026-08-26 05:04:14,120.0,132.23041,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
47,2026-08-26 05:09:14,140.0,130.40936,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
48,2026-08-26 05:14:14,120.0,129.96973,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
49,2026-08-26 05:19:14,148.0,128.44017,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
50,2026-08-26 05:24:14,120.0,128.53046,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
51,2026-08-26 05:29:14,120.0,127.94514,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
52,2026-08-26 05:34:14,120.0,127.590256,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
53,2026-08-26 05:39:14,140.0,126.9917,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
54,2026-08-26 05:44:14,126.66668,125.7538,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
55,2026-08-26 05:49:14,130.0,126.79761,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
56,2026-08-26 05:54:14,130.0,124.87347,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
57,2026-08-26 05:59:14,140.0,126.6275,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
58,2026-08-26 06:04:14,135.00002,129.1286,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
59,2026-08-26 06:09:14,126.66668,131.38211,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
60,2026-08-26 06:14:14,133.33333,130.30576,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
61,2026-08-26 06:19:14,140.0,131.02864,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
62,2026-08-26 06:24:14,140.0,131.97333,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
63,2026-08-26 06:29:14,130.0,133.29456,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
64,2026-08-26 06:34:14,140.0,132.6698,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
